<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.08.08	12:00:00	1.33905	1.34021	1.33823	1.33958	12981	0	6
2014.08.08	16:00:00	1.33958	1.34323	1.33949	1.34119	11703	0	6
2014.08.08	20:00:00	1.34119	1.34166	1.34062	1.34094	3492	0	6
2014.08.11	00:00:00	1.34061	1.34082	1.33976	1.33998	4040	0	6
2014.08.11	04:00:00	1.33999	1.34021	1.33973	1.33984	2607	0	6
2014.08.11	08:00:00	1.33983	1.33993	1.33829	1.33884	9102	0	6
2014.08.11	12:00:00	1.33885	1.33962	1.33819	1.33855	7817	0	6
2014.08.11	16:00:00	1.33859	1.33887	1.33801	1.33864	5605	0	6
2014.08.11	20:00:00	1.33865	1.33873	1.33809	1.33843	2294	0	6
2014.08.12	00:00:00	1.33843	1.33857	1.33673	1.33720	3197	0	6
2014.08.12	04:00:00	1.33719	1.33761	1.33681	1.33695	2846	0	6
2014.08.12	08:00:00	1.33694	1.33719	1.33390	1.33421	10242	0	6
2014.08.12	12:00:00	1.33421	1.33610	1.33356	1.33584	9795	0	6
2014.08.12	16:00:00	1.33585	1.33674	1.33442	1.33672	8024	0	6
2014.08.12	20:00:00	1.33673	1.33694	1.33638	1.33670	2770	0	6
2014.08.13	00:00:00	1.33674	1.33691	1.33633	1.33637	2189	0	6
2014.08.13	04:00:00	1.33637	1.33662	1.33598	1.33620	2625	0	6
2014.08.13	08:00:00	1.33621	1.33729	1.33419	1.33569	11564	0	6
2014.08.13	12:00:00	1.33569	1.34148	1.33506	1.33893	14973	0	6
2014.08.13	16:00:00	1.33893	1.33913	1.33548	1.33668	9549	0	6
2014.08.13	20:00:00	1.33670	1.33705	1.33615	1.33630	2731	0	6
2014.08.14	00:00:00	1.33630	1.33666	1.33557	1.33579	2654	0	6
2014.08.14	04:00:00	1.33578	1.33678	1.33555	1.33575	3477	0	6
2014.08.14	08:00:00	1.33575	1.33960	1.33479	1.33800	13265	0	6
2014.08.14	12:00:00	1.33800	1.34074	1.33711	1.34027	12783	0	6
2014.08.14	16:00:00	1.34029	1.34032	1.33633	1.33646	9099	0	6
2014.08.14	20:00:00	1.33647	1.33691	1.33602	1.33637	2637	0	6
2014.08.15	00:00:00	1.33637	1.33649	1.33593	1.33611	2488	0	6
2014.08.15	04:00:00	1.33607	1.33679	1.33583	1.33676	2694	0	6
2014.08.15	08:00:00	1.33676	1.33914	1.33603	1.33615	9155	0	6
2014.08.15	12:00:00	1.33616	1.34044	1.33612	1.33927	12914	0	6
2014.08.15	16:00:00	1.33927	1.34114	1.33772	1.33915	15086	0	6
